_id,FinancialYear,HBT,HBTQF,Dataset,DatasetQF,ICD10Codes,DischargeCount,DischargeCountQF,DischargeRates,DischargeRatesQF,PatientsCount,PatientCountQF,PatientsRates,PatientRatesQF,HospitalResidentsCount,HospitalResidentsCountQF,HospitalResidentsRates,HospitalResidentsRatesQF
1903,2001/02,S08000020, ,Total,d,F00 - F09 or Chapter G and second position F00,550, ,104.59, ,440, ,83.67, ,280, ,53.25, 
1904,2001/02,S08000020, ,SMR01, ,F00 - F09 or Chapter G and second position F00,220, ,41.84, ,180, ,34.23, , ,:, ,:
1905,2001/02,S08000020, ,SMR04, ,F00 - F09 or Chapter G and second position F00,330, ,62.76, ,270, ,51.35, ,280, ,53.25, 
1906,2001/02,S08000020, ,Total,d,"F50 - F59, F70 - F99",40, ,7.61, ,40, ,7.61, ,0, ,0, 
1907,2001/02,S08000020, ,SMR01, ,"F50 - F59, F70 - F99",30, ,5.71, ,20, ,3.8, , ,:, ,:
1908,2001/02,S08000020, ,SMR04, ,"F50 - F59, F70 - F99",20, ,3.8, ,20, ,3.8, ,0, ,0, 
1909,2001/02,S08000020, ,Total,d,F20 - F29,790, ,150.23, ,420, ,79.87, ,130, ,24.72, 
1910,2001/02,S08000020, ,SMR01, ,F20 - F29,10, ,1.9, ,10, ,1.9, , ,:, ,:
1911,2001/02,S08000020, ,SMR04, ,F20 - F29,780, ,148.33, ,410, ,77.97, ,130, ,24.72, 
1912,2001/02,S08000031, ,Total,d,F60 - F69,310, ,27.51, ,220, ,19.53, ,30, ,2.66, 
1913,2001/02,S08000031, ,SMR01, ,F60 - F69,10, ,0.89, ,10, ,0.89, , ,:, ,:
1914,2001/02,S08000031, ,SMR04, ,F60 - F69,300, ,26.63, ,210, ,18.64, ,30, ,2.66, 
1915,2001/02,S08000031, ,Total,d,F10 - F19,2980, ,264.49, ,2220, ,197.04, ,130, ,11.54, 
1916,2001/02,S08000031, ,SMR01, ,F10 - F19,1560, ,138.46, ,1220, ,108.28, , ,:, ,:
1917,2001/02,S08000031, ,SMR04, ,F10 - F19,1420, ,126.03, ,1090, ,96.74, ,130, ,11.54, 
1918,2001/02,S08000031, ,Total,d,F30 - F39,2360, ,209.46, ,1780, ,157.98, ,290, ,25.74, 
1919,2001/02,S08000031, ,SMR01, ,F30 - F39,120, ,10.65, ,90, ,7.99, , ,:, ,:
1920,2001/02,S08000031, ,SMR04, ,F30 - F39,2240, ,198.81, ,1700, ,150.88, ,290, ,25.74, 
1921,2001/02,S08000031, ,Total,d,F40 - F49,600, ,53.25, ,520, ,46.15, ,20, ,1.78, 
1922,2001/02,S08000031, ,SMR01, ,F40 - F49,230, ,20.41, ,210, ,18.64, , ,:, ,:
1923,2001/02,S08000031, ,SMR04, ,F40 - F49,370, ,32.84, ,320, ,28.4, ,20, ,1.78, 
1924,2001/02,S08000031, ,Total,d,F00 - F09 or Chapter G and second position F00,1900, ,168.64, ,1380, ,122.48, ,580, ,51.48, 
1925,2001/02,S08000031, ,SMR01, ,F00 - F09 or Chapter G and second position F00,850, ,75.44, ,580, ,51.48, , ,:, ,:
1926,2001/02,S08000031, ,SMR04, ,F00 - F09 or Chapter G and second position F00,1050, ,93.19, ,850, ,75.44, ,580, ,51.48, 
1927,2001/02,S08000031, ,Total,d,"F50 - F59, F70 - F99",130, ,11.54, ,110, ,9.76, ,30, ,2.66, 
1928,2001/02,S08000031, ,SMR01, ,"F50 - F59, F70 - F99",60, ,5.33, ,50, ,4.44, , ,:, ,:
1929,2001/02,S08000031, ,SMR04, ,"F50 - F59, F70 - F99",80, ,7.1, ,70, ,6.21, ,30, ,2.66, 
1930,2001/02,S08000031, ,Total,d,F20 - F29,1790, ,158.87, ,1230, ,109.17, ,560, ,49.7, 
1931,2001/02,S08000031, ,SMR01, ,F20 - F29,30, ,2.66, ,20, ,1.78, , ,:, ,:
1932,2001/02,S08000031, ,SMR04, ,F20 - F29,1760, ,156.21, ,1210, ,107.39, ,560, ,49.7, 
1933,2001/02,S08000022, ,Total,d,F60 - F69,80, ,26.65, ,60, ,19.99, ,0, ,0, 
1934,2001/02,S08000022, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
1935,2001/02,S08000022, ,SMR04, ,F60 - F69,80, ,26.65, ,60, ,19.99, ,0, ,0, 
1936,2001/02,S08000022, ,Total,d,F10 - F19,1270, ,423.02, ,920, ,306.44, ,30, ,9.99, 
1937,2001/02,S08000022, ,SMR01, ,F10 - F19,720, ,239.82, ,540, ,179.87, , ,:, ,:
1938,2001/02,S08000022, ,SMR04, ,F10 - F19,550, ,183.2, ,430, ,143.23, ,30, ,9.99, 
1939,2001/02,S08000022, ,Total,d,F30 - F39,540, ,179.87, ,430, ,143.23, ,60, ,19.99, 
1940,2001/02,S08000022, ,SMR01, ,F30 - F39,60, ,19.99, ,60, ,19.99, , ,:, ,:
1941,2001/02,S08000022, ,SMR04, ,F30 - F39,480, ,159.88, ,390, ,129.9, ,60, ,19.99, 
1942,2001/02,S08000022, ,Total,d,F40 - F49,200, ,66.62, ,180, ,59.96, ,10, ,3.33, 
1943,2001/02,S08000022, ,SMR01, ,F40 - F49,60, ,19.99, ,60, ,19.99, , ,:, ,:
1944,2001/02,S08000022, ,SMR04, ,F40 - F49,140, ,46.63, ,130, ,43.3, ,10, ,3.33, 
1945,2001/02,S08000022, ,Total,d,F00 - F09 or Chapter G and second position F00,470, ,156.55, ,300, ,99.93, ,110, ,36.64, 
1946,2001/02,S08000022, ,SMR01, ,F00 - F09 or Chapter G and second position F00,170, ,56.63, ,130, ,43.3, , ,:, ,:
1947,2001/02,S08000022, ,SMR04, ,F00 - F09 or Chapter G and second position F00,300, ,99.93, ,190, ,63.29, ,110, ,36.64, 
1948,2001/02,S08000022, ,Total,d,"F50 - F59, F70 - F99",20, ,6.66, ,20, ,6.66, ,0, ,0, 
1949,2001/02,S08000022, ,SMR01, ,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, , ,:, ,:
1950,2001/02,S08000022, ,SMR04, ,"F50 - F59, F70 - F99",10, ,3.33, ,10, ,3.33, ,0, ,0, 
1951,2001/02,S08000022, ,Total,d,F20 - F29,370, ,123.24, ,260, ,86.6, ,90, ,29.98, 
1952,2001/02,S08000022, ,SMR01, ,F20 - F29,30, ,9.99, ,20, ,6.66, , ,:, ,:
1953,2001/02,S08000022, ,SMR04, ,F20 - F29,350, ,116.58, ,240, ,79.94, ,90, ,29.98, 
1954,2001/02,S08000032, ,Total,d,F60 - F69,100, ,16.04, ,70, ,11.23, ,20, ,3.21, 
1955,2001/02,S08000032, ,SMR01, ,F60 - F69,10, ,1.6, ,10, ,1.6, , ,:, ,:
1956,2001/02,S08000032, ,SMR04, ,F60 - F69,90, ,14.43, ,60, ,9.62, ,20, ,3.21, 
1957,2001/02,S08000032, ,Total,d,F10 - F19,940, ,150.76, ,740, ,118.68, ,40, ,6.42, 
1958,2001/02,S08000032, ,SMR01, ,F10 - F19,470, ,75.38, ,380, ,60.94, , ,:, ,:
1959,2001/02,S08000032, ,SMR04, ,F10 - F19,470, ,75.38, ,380, ,60.94, ,40, ,6.42, 
1960,2001/02,S08000032, ,Total,d,F30 - F39,940, ,150.76, ,730, ,117.08, ,100, ,16.04, 
1961,2001/02,S08000032, ,SMR01, ,F30 - F39,30, ,4.81, ,20, ,3.21, , ,:, ,:
1962,2001/02,S08000032, ,SMR04, ,F30 - F39,910, ,145.95, ,710, ,113.87, ,100, ,16.04, 
1963,2001/02,S08000032, ,Total,d,F40 - F49,230, ,36.89, ,190, ,30.47, ,10, ,1.6, 
1964,2001/02,S08000032, ,SMR01, ,F40 - F49,60, ,9.62, ,60, ,9.62, , ,:, ,:
1965,2001/02,S08000032, ,SMR04, ,F40 - F49,170, ,27.26, ,140, ,22.45, ,10, ,1.6, 
1966,2001/02,S08000032, ,Total,d,F00 - F09 or Chapter G and second position F00,760, ,121.89, ,500, ,80.19, ,240, ,38.49, 
1967,2001/02,S08000032, ,SMR01, ,F00 - F09 or Chapter G and second position F00,200, ,32.08, ,130, ,20.85, , ,:, ,:
1968,2001/02,S08000032, ,SMR04, ,F00 - F09 or Chapter G and second position F00,560, ,89.81, ,380, ,60.94, ,240, ,38.49, 
1969,2001/02,S08000032, ,Total,d,"F50 - F59, F70 - F99",30, ,4.81, ,30, ,4.81, ,10, ,1.6, 
1970,2001/02,S08000032, ,SMR01, ,"F50 - F59, F70 - F99",10, ,1.6, ,10, ,1.6, , ,:, ,:
1971,2001/02,S08000032, ,SMR04, ,"F50 - F59, F70 - F99",20, ,3.21, ,20, ,3.21, ,10, ,1.6, 
1972,2001/02,S08000032, ,Total,d,F20 - F29,670, ,107.45, ,440, ,70.57, ,170, ,27.26, 
1973,2001/02,S08000032, ,SMR01, ,F20 - F29,0, ,0, ,0, ,0, , ,:, ,:
1974,2001/02,S08000032, ,SMR04, ,F20 - F29,660, ,105.85, ,440, ,70.57, ,170, ,27.26, 
1975,2001/02,S08000024, ,Total,d,F60 - F69,230, ,29.52, ,150, ,19.25, ,20, ,2.57, 
1976,2001/02,S08000024, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
1977,2001/02,S08000024, ,SMR04, ,F60 - F69,230, ,29.52, ,150, ,19.25, ,20, ,2.57, 
1978,2001/02,S08000024, ,Total,d,F10 - F19,1430, ,183.53, ,1010, ,129.62, ,40, ,5.13, 
1979,2001/02,S08000024, ,SMR01, ,F10 - F19,560, ,71.87, ,420, ,53.9, , ,:, ,:
1980,2001/02,S08000024, ,SMR04, ,F10 - F19,880, ,112.94, ,660, ,84.7, ,40, ,5.13, 
1981,2001/02,S08000024, ,Total,d,F30 - F39,1460, ,187.38, ,1040, ,133.47, ,180, ,23.1, 
1982,2001/02,S08000024, ,SMR01, ,F30 - F39,70, ,8.98, ,60, ,7.7, , ,:, ,:
1983,2001/02,S08000024, ,SMR04, ,F30 - F39,1390, ,178.39, ,980, ,125.77, ,180, ,23.1, 
1984,2001/02,S08000024, ,Total,d,F40 - F49,440, ,56.47, ,350, ,44.92, ,20, ,2.57, 
1985,2001/02,S08000024, ,SMR01, ,F40 - F49,140, ,17.97, ,110, ,14.12, , ,:, ,:
1986,2001/02,S08000024, ,SMR04, ,F40 - F49,310, ,39.79, ,240, ,30.8, ,20, ,2.57, 
1987,2001/02,S08000024, ,Total,d,F00 - F09 or Chapter G and second position F00,1470, ,188.66, ,920, ,118.07, ,350, ,44.92, 
1988,2001/02,S08000024, ,SMR01, ,F00 - F09 or Chapter G and second position F00,430, ,55.19, ,290, ,37.22, , ,:, ,:
1989,2001/02,S08000024, ,SMR04, ,F00 - F09 or Chapter G and second position F00,1040, ,133.47, ,650, ,83.42, ,350, ,44.92, 
1990,2001/02,S08000024, ,Total,d,"F50 - F59, F70 - F99",140, ,17.97, ,130, ,16.68, ,10, ,1.28, 
1991,2001/02,S08000024, ,SMR01, ,"F50 - F59, F70 - F99",80, ,10.27, ,80, ,10.27, , ,:, ,:
1992,2001/02,S08000024, ,SMR04, ,"F50 - F59, F70 - F99",60, ,7.7, ,50, ,6.42, ,10, ,1.28, 
1993,2001/02,S08000024, ,Total,d,F20 - F29,1200, ,154.01, ,770, ,98.82, ,260, ,33.37, 
1994,2001/02,S08000024, ,SMR01, ,F20 - F29,10, ,1.28, ,10, ,1.28, , ,:, ,:
1995,2001/02,S08000024, ,SMR04, ,F20 - F29,1200, ,154.01, ,760, ,97.54, ,260, ,33.37, 
1996,2001/02,S08000025, ,Total,d,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
1997,2001/02,S08000025, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
1998,2001/02,S08000025, ,SMR04, ,F60 - F69, ,:, ,:, ,:, ,:, ,:, ,:
1999,2001/02,S08000025, ,Total,d,F10 - F19,40, ,208.12, ,40, ,208.12, , ,:, ,:
2000,2001/02,S08000025, ,SMR01, ,F10 - F19,40, ,208.12, ,40, ,208.12, , ,:, ,:
2001,2001/02,S08000025, ,SMR04, ,F10 - F19, ,:, ,:, ,:, ,:, ,:, ,:
2002,2001/02,S08000025, ,Total,d,F30 - F39,10, ,52.03, ,10, ,52.03, , ,:, ,:
2003,2001/02,S08000025, ,SMR01, ,F30 - F39,10, ,52.03, ,10, ,52.03, , ,:, ,:
2004,2001/02,S08000025, ,SMR04, ,F30 - F39, ,:, ,:, ,:, ,:, ,:, ,:
2005,2001/02,S08000025, ,Total,d,F40 - F49,0, ,0, ,0, ,0, , ,:, ,:
2006,2001/02,S08000025, ,SMR01, ,F40 - F49,0, ,0, ,0, ,0, , ,:, ,:
2007,2001/02,S08000025, ,SMR04, ,F40 - F49, ,:, ,:, ,:, ,:, ,:, ,:
2008,2001/02,S08000025, ,Total,d,F00 - F09 or Chapter G and second position F00,10, ,52.03, ,10, ,52.03, , ,:, ,:
2009,2001/02,S08000025, ,SMR01, ,F00 - F09 or Chapter G and second position F00,10, ,52.03, ,10, ,52.03, , ,:, ,:
2010,2001/02,S08000025, ,SMR04, ,F00 - F09 or Chapter G and second position F00, ,:, ,:, ,:, ,:, ,:, ,:
2011,2001/02,S08000025, ,Total,d,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, , ,:, ,:
2012,2001/02,S08000025, ,SMR01, ,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, , ,:, ,:
2013,2001/02,S08000025, ,SMR04, ,"F50 - F59, F70 - F99", ,:, ,:, ,:, ,:, ,:, ,:
2014,2001/02,S08000025, ,Total,d,F20 - F29,10, ,52.03, ,0, ,0, , ,:, ,:
2015,2001/02,S08000025, ,SMR01, ,F20 - F29,10, ,52.03, ,0, ,0, , ,:, ,:
2016,2001/02,S08000025, ,SMR04, ,F20 - F29, ,:, ,:, ,:, ,:, ,:, ,:
2017,2001/02,S08000026, ,Total,d,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
2018,2001/02,S08000026, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
2019,2001/02,S08000026, ,SMR04, ,F60 - F69, ,:, ,:, ,:, ,:, ,:, ,:
2020,2001/02,S08000026, ,Total,d,F10 - F19,40, ,182.15, ,40, ,182.15, , ,:, ,:
2021,2001/02,S08000026, ,SMR01, ,F10 - F19,40, ,182.15, ,40, ,182.15, , ,:, ,:
2022,2001/02,S08000026, ,SMR04, ,F10 - F19, ,:, ,:, ,:, ,:, ,:, ,:
2023,2001/02,S08000026, ,Total,d,F30 - F39,10, ,45.54, ,10, ,45.54, , ,:, ,:
2024,2001/02,S08000026, ,SMR01, ,F30 - F39,10, ,45.54, ,10, ,45.54, , ,:, ,:
2025,2001/02,S08000026, ,SMR04, ,F30 - F39, ,:, ,:, ,:, ,:, ,:, ,:
2026,2001/02,S08000026, ,Total,d,F40 - F49,10, ,45.54, ,10, ,45.54, , ,:, ,:
2027,2001/02,S08000026, ,SMR01, ,F40 - F49,10, ,45.54, ,10, ,45.54, , ,:, ,:
2028,2001/02,S08000026, ,SMR04, ,F40 - F49, ,:, ,:, ,:, ,:, ,:, ,:
2029,2001/02,S08000026, ,Total,d,F00 - F09 or Chapter G and second position F00,10, ,45.54, ,10, ,45.54, , ,:, ,:
2030,2001/02,S08000026, ,SMR01, ,F00 - F09 or Chapter G and second position F00,10, ,45.54, ,10, ,45.54, , ,:, ,:
2031,2001/02,S08000026, ,SMR04, ,F00 - F09 or Chapter G and second position F00, ,:, ,:, ,:, ,:, ,:, ,:
2032,2001/02,S08000026, ,Total,d,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, , ,:, ,:
2033,2001/02,S08000026, ,SMR01, ,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, , ,:, ,:
2034,2001/02,S08000026, ,SMR04, ,"F50 - F59, F70 - F99", ,:, ,:, ,:, ,:, ,:, ,:
2035,2001/02,S08000026, ,Total,d,F20 - F29,10, ,45.54, ,10, ,45.54, , ,:, ,:
2036,2001/02,S08000026, ,SMR01, ,F20 - F29,10, ,45.54, ,10, ,45.54, , ,:, ,:
2037,2001/02,S08000026, ,SMR04, ,F20 - F29, ,:, ,:, ,:, ,:, ,:, ,:
2038,2001/02,S08000030, ,Total,d,F60 - F69,80, ,20.58, ,60, ,15.43, ,10, ,2.57, 
2039,2001/02,S08000030, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
2040,2001/02,S08000030, ,SMR04, ,F60 - F69,80, ,20.58, ,60, ,15.43, ,10, ,2.57, 
2041,2001/02,S08000030, ,Total,d,F10 - F19,860, ,221.2, ,640, ,164.62, ,20, ,5.14, 
2042,2001/02,S08000030, ,SMR01, ,F10 - F19,340, ,87.45, ,280, ,72.02, , ,:, ,:
2043,2001/02,S08000030, ,SMR04, ,F10 - F19,520, ,133.75, ,390, ,100.31, ,20, ,5.14, 
2044,2001/02,S08000030, ,Total,d,F30 - F39,800, ,205.77, ,580, ,149.18, ,90, ,23.15, 
2045,2001/02,S08000030, ,SMR01, ,F30 - F39,30, ,7.72, ,30, ,7.72, , ,:, ,:
2046,2001/02,S08000030, ,SMR04, ,F30 - F39,770, ,198.06, ,560, ,144.04, ,90, ,23.15, 
2047,2001/02,S08000030, ,Total,d,F40 - F49,240, ,61.73, ,200, ,51.44, ,10, ,2.57, 
2048,2001/02,S08000030, ,SMR01, ,F40 - F49,50, ,12.86, ,50, ,12.86, , ,:, ,:
2049,2001/02,S08000030, ,SMR04, ,F40 - F49,190, ,48.87, ,160, ,41.15, ,10, ,2.57, 
2050,2001/02,S08000030, ,Total,d,F00 - F09 or Chapter G and second position F00,580, ,149.18, ,470, ,120.89, ,220, ,56.59, 
2051,2001/02,S08000030, ,SMR01, ,F00 - F09 or Chapter G and second position F00,170, ,43.73, ,150, ,38.58, , ,:, ,:
2052,2001/02,S08000030, ,SMR04, ,F00 - F09 or Chapter G and second position F00,400, ,102.89, ,330, ,84.88, ,220, ,56.59, 
2053,2001/02,S08000030, ,Total,d,"F50 - F59, F70 - F99",40, ,10.29, ,30, ,7.72, ,10, ,2.57, 
2054,2001/02,S08000030, ,SMR01, ,"F50 - F59, F70 - F99",10, ,2.57, ,10, ,2.57, , ,:, ,:
2055,2001/02,S08000030, ,SMR04, ,"F50 - F59, F70 - F99",30, ,7.72, ,20, ,5.14, ,10, ,2.57, 
2056,2001/02,S08000030, ,Total,d,F20 - F29,580, ,149.18, ,400, ,102.89, ,170, ,43.73, 
2057,2001/02,S08000030, ,SMR01, ,F20 - F29,0, ,0, ,0, ,0, , ,:, ,:
2058,2001/02,S08000030, ,SMR04, ,F20 - F29,580, ,149.18, ,400, ,102.89, ,170, ,43.73, 
2059,2001/02,S08000028, ,Total,d,F60 - F69,0, ,0, ,0, ,0, ,0, ,0, 
2060,2001/02,S08000028, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
2061,2001/02,S08000028, ,SMR04, ,F60 - F69,0, ,0, ,0, ,0, ,0, ,0, 
2062,2001/02,S08000028, ,Total,d,F10 - F19,150, ,567.11, ,110, ,415.88, ,0, ,0, 
2063,2001/02,S08000028, ,SMR01, ,F10 - F19,140, ,529.3, ,100, ,378.07, , ,:, ,:
2064,2001/02,S08000028, ,SMR04, ,F10 - F19,10, ,37.81, ,10, ,37.81, ,0, ,0, 
2065,2001/02,S08000028, ,Total,d,F30 - F39,70, ,264.65, ,50, ,189.04, ,10, ,37.81, 
2066,2001/02,S08000028, ,SMR01, ,F30 - F39,10, ,37.81, ,10, ,37.81, , ,:, ,:
2067,2001/02,S08000028, ,SMR04, ,F30 - F39,60, ,226.84, ,40, ,151.23, ,10, ,37.81, 
2068,2001/02,S08000028, ,Total,d,F40 - F49,10, ,37.81, ,10, ,37.81, ,0, ,0, 
2069,2001/02,S08000028, ,SMR01, ,F40 - F49,10, ,37.81, ,10, ,37.81, , ,:, ,:
2070,2001/02,S08000028, ,SMR04, ,F40 - F49,10, ,37.81, ,10, ,37.81, ,0, ,0, 
2071,2001/02,S08000028, ,Total,d,F00 - F09 or Chapter G and second position F00,20, ,75.61, ,20, ,75.61, ,10, ,37.81, 
2072,2001/02,S08000028, ,SMR01, ,F00 - F09 or Chapter G and second position F00,0, ,0, ,0, ,0, , ,:, ,:
2073,2001/02,S08000028, ,SMR04, ,F00 - F09 or Chapter G and second position F00,20, ,75.61, ,20, ,75.61, ,10, ,37.81, 
2074,2001/02,S08000028, ,Total,d,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, ,0, ,0, 
2075,2001/02,S08000028, ,SMR01, ,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, , ,:, ,:
2076,2001/02,S08000028, ,SMR04, ,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, ,0, ,0, 
2077,2001/02,S08000028, ,Total,d,F20 - F29,20, ,75.61, ,20, ,75.61, ,0, ,0, 
2078,2001/02,S08000028, ,SMR01, ,F20 - F29,0, ,0, ,0, ,0, , ,:, ,:
2079,2001/02,S08000028, ,SMR04, ,F20 - F29,20, ,75.61, ,10, ,37.81, ,0, ,0, 
2080,2001/02,SB0802, ,Total,d,F60 - F69,10, , ,:,10, , ,:,10, , ,:
2081,2001/02,SB0802, ,SMR01, ,F60 - F69, ,:, ,:, ,:, ,:, ,:, ,:
2082,2001/02,SB0802, ,SMR04, ,F60 - F69,10, , ,:,10, , ,:,10, , ,:
2083,2001/02,SB0802, ,Total,d,F10 - F19,0, , ,:,0, , ,:,0, , ,:
2084,2001/02,SB0802, ,SMR01, ,F10 - F19, ,:, ,:, ,:, ,:, ,:, ,:
2085,2001/02,SB0802, ,SMR04, ,F10 - F19,0, , ,:,0, , ,:,0, , ,:
2086,2001/02,SB0802, ,Total,d,F30 - F39,10, , ,:,10, , ,:,10, , ,:
2087,2001/02,SB0802, ,SMR01, ,F30 - F39, ,:, ,:, ,:, ,:, ,:, ,:
2088,2001/02,SB0802, ,SMR04, ,F30 - F39,10, , ,:,10, , ,:,10, , ,:
2089,2001/02,SB0802, ,Total,d,F40 - F49,0, , ,:,0, , ,:,0, , ,:
2090,2001/02,SB0802, ,SMR01, ,F40 - F49, ,:, ,:, ,:, ,:, ,:, ,:
2091,2001/02,SB0802, ,SMR04, ,F40 - F49,0, , ,:,0, , ,:,0, , ,:
2092,2001/02,SB0802, ,Total,d,F00 - F09 or Chapter G and second position F00,0, , ,:,0, , ,:,0, , ,:
2093,2001/02,SB0802, ,SMR01, ,F00 - F09 or Chapter G and second position F00, ,:, ,:, ,:, ,:, ,:, ,:
2094,2001/02,SB0802, ,SMR04, ,F00 - F09 or Chapter G and second position F00,0, , ,:,0, , ,:,0, , ,:
2095,2001/02,SB0802, ,Total,d,"F50 - F59, F70 - F99",10, , ,:,10, , ,:,40, , ,:
2096,2001/02,SB0802, ,SMR01, ,"F50 - F59, F70 - F99", ,:, ,:, ,:, ,:, ,:, ,:
2097,2001/02,SB0802, ,SMR04, ,"F50 - F59, F70 - F99",10, , ,:,10, , ,:,40, , ,:
2098,2001/02,SB0802, ,Total,d,F20 - F29,110, , ,:,100, , ,:,170, , ,:
2099,2001/02,SB0802, ,SMR01, ,F20 - F29, ,:, ,:, ,:, ,:, ,:, ,:
2100,2001/02,SB0802, ,SMR04, ,F20 - F29,110, , ,:,100, , ,:,170, , ,:
2101,2002/03,S08000015, ,Total,d,F60 - F69,80, ,21.77, ,60, ,16.33, ,10, ,2.72, 
2102,2002/03,S08000015, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
2103,2002/03,S08000015, ,SMR04, ,F60 - F69,80, ,21.77, ,60, ,16.33, ,10, ,2.72, 
2104,2002/03,S08000015, ,Total,d,F10 - F19,1050, ,285.71, ,790, ,214.97, ,40, ,10.88, 
2105,2002/03,S08000015, ,SMR01, ,F10 - F19,570, ,155.1, ,470, ,127.89, , ,:, ,:
2106,2002/03,S08000015, ,SMR04, ,F10 - F19,480, ,130.61, ,360, ,97.96, ,40, ,10.88, 
2107,2002/03,S08000015, ,Total,d,F30 - F39,570, ,155.1, ,440, ,119.73, ,60, ,16.33, 
2108,2002/03,S08000015, ,SMR01, ,F30 - F39,30, ,8.16, ,30, ,8.16, , ,:, ,:
2109,2002/03,S08000015, ,SMR04, ,F30 - F39,540, ,146.94, ,420, ,114.29, ,60, ,16.33, 
2110,2002/03,S08000015, ,Total,d,F40 - F49,220, ,59.86, ,200, ,54.42, ,10, ,2.72, 
2111,2002/03,S08000015, ,SMR01, ,F40 - F49,60, ,16.33, ,50, ,13.61, , ,:, ,:
2112,2002/03,S08000015, ,SMR04, ,F40 - F49,170, ,46.26, ,160, ,43.54, ,10, ,2.72, 
2113,2002/03,S08000015, ,Total,d,F00 - F09 or Chapter G and second position F00,460, ,125.17, ,330, ,89.8, ,130, ,35.37, 
2114,2002/03,S08000015, ,SMR01, ,F00 - F09 or Chapter G and second position F00,100, ,27.21, ,90, ,24.49, , ,:, ,:
2115,2002/03,S08000015, ,SMR04, ,F00 - F09 or Chapter G and second position F00,360, ,97.96, ,250, ,68.03, ,130, ,35.37, 
2116,2002/03,S08000015, ,Total,d,"F50 - F59, F70 - F99",30, ,8.16, ,30, ,8.16, ,20, ,5.44, 
2117,2002/03,S08000015, ,SMR01, ,"F50 - F59, F70 - F99",10, ,2.72, ,10, ,2.72, , ,:, ,:
2118,2002/03,S08000015, ,SMR04, ,"F50 - F59, F70 - F99",30, ,8.16, ,20, ,5.44, ,20, ,5.44, 
2119,2002/03,S08000015, ,Total,d,F20 - F29,400, ,108.84, ,280, ,76.19, ,90, ,24.49, 
2120,2002/03,S08000015, ,SMR01, ,F20 - F29,10, ,2.72, ,0, ,0, , ,:, ,:
2121,2002/03,S08000015, ,SMR04, ,F20 - F29,400, ,108.84, ,280, ,76.19, ,90, ,24.49, 
2122,2002/03,S08000016, ,Total,d,F60 - F69,30, ,27.9, ,20, ,18.6, ,0, ,0, 
2123,2002/03,S08000016, ,SMR01, ,F60 - F69,0, ,0, ,0, ,0, , ,:, ,:
2124,2002/03,S08000016, ,SMR04, ,F60 - F69,30, ,27.9, ,20, ,18.6, ,0, ,0, 
2125,2002/03,S08000016, ,Total,d,F10 - F19,240, ,223.19, ,190, ,176.69, ,0, ,0, 
2126,2002/03,S08000016, ,SMR01, ,F10 - F19,160, ,148.8, ,130, ,120.9, , ,:, ,:
2127,2002/03,S08000016, ,SMR04, ,F10 - F19,80, ,74.4, ,70, ,65.1, ,0, ,0, 
2128,2002/03,S08000016, ,Total,d,F30 - F39,210, ,195.29, ,140, ,130.2, ,20, ,18.6, 
2129,2002/03,S08000016, ,SMR01, ,F30 - F39,20, ,18.6, ,20, ,18.6, , ,:, ,:
2130,2002/03,S08000016, ,SMR04, ,F30 - F39,180, ,167.4, ,130, ,120.9, ,20, ,18.6, 
2131,2002/03,S08000016, ,Total,d,F40 - F49,80, ,74.4, ,70, ,65.1, ,0, ,0, 
2132,2002/03,S08000016, ,SMR01, ,F40 - F49,20, ,18.6, ,20, ,18.6, , ,:, ,:
2133,2002/03,S08000016, ,SMR04, ,F40 - F49,60, ,55.8, ,50, ,46.5, ,0, ,0, 
2134,2002/03,S08000016, ,Total,d,F00 - F09 or Chapter G and second position F00,250, ,232.49, ,190, ,176.69, ,60, ,55.8, 
2135,2002/03,S08000016, ,SMR01, ,F00 - F09 or Chapter G and second position F00,80, ,74.4, ,70, ,65.1, , ,:, ,:
2136,2002/03,S08000016, ,SMR04, ,F00 - F09 or Chapter G and second position F00,170, ,158.1, ,130, ,120.9, ,60, ,55.8, 
2137,2002/03,S08000016, ,Total,d,"F50 - F59, F70 - F99",10, ,9.3, ,10, ,9.3, ,0, ,0, 
2138,2002/03,S08000016, ,SMR01, ,"F50 - F59, F70 - F99",0, ,0, ,0, ,0, , ,:, ,:
