financial_year,health_board,icd10codes,discharge_count,discharge_count_qf,discharge_rates,discharge_rates_qf,patients_count,patient_count_qf,patients_rates,patient_rates_qf,hospital_residents_count,hospital_residents_count_qf,hospital_residents_rates,hospital_residents_rates_qf,diagnosis_grouping
1999,NHS Grampian,F00 - F09 or Chapter G and second position F00,730,NA,138.08,NA,530,NA,100.25,NA,310,NA,58.64,NA,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Grampian,"F50 - F59, F70 - F99",40,NA,7.57,NA,40,NA,7.57,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Grampian,F20 - F29,650,NA,122.95,NA,400,NA,75.66,NA,140,NA,26.48,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Greater Glasgow and Clyde,F60 - F69,360,NA,31.74,NA,280,NA,24.69,NA,20,NA,1.76,NA,Disorders of Adult Personality & Behaviour
1999,NHS Greater Glasgow and Clyde,F10 - F19,3440,NA,303.28,NA,2550,NA,224.82,NA,170,NA,14.99,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Greater Glasgow and Clyde,F30 - F39,2520,NA,222.17,NA,1940,NA,171.04,NA,320,NA,28.21,NA,Mood Disorders
1999,NHS Greater Glasgow and Clyde,F40 - F49,550,NA,48.49,NA,500,NA,44.08,NA,20,NA,1.76,NA,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Greater Glasgow and Clyde,F00 - F09 or Chapter G and second position F00,2090,NA,184.26,NA,1610,NA,141.94,NA,700,NA,61.71,NA,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Greater Glasgow and Clyde,"F50 - F59, F70 - F99",140,NA,12.34,NA,130,NA,11.46,NA,30,NA,2.64,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Greater Glasgow and Clyde,F20 - F29,1930,NA,170.16,NA,1380,NA,121.67,NA,570,NA,50.25,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Highland,F60 - F69,100,NA,33.24,NA,70,NA,23.27,NA,10,NA,3.32,NA,Disorders of Adult Personality & Behaviour
1999,NHS Highland,F10 - F19,1390,NA,462.04,NA,990,NA,329.08,NA,30,NA,9.97,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Highland,F30 - F39,540,NA,179.5,NA,430,NA,142.93,NA,50,NA,16.62,NA,Mood Disorders
1999,NHS Highland,F40 - F49,230,NA,76.45,NA,200,NA,66.48,NA,10,NA,3.32,NA,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Highland,F00 - F09 or Chapter G and second position F00,550,NA,182.82,NA,350,NA,116.34,NA,100,NA,33.24,NA,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Highland,"F50 - F59, F70 - F99",40,NA,13.3,NA,30,NA,9.97,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Highland,F20 - F29,320,NA,106.37,NA,240,NA,79.78,NA,60,NA,19.94,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Lanarkshire,F60 - F69,100,NA,16.01,NA,80,NA,12.81,NA,20,NA,3.2,NA,Disorders of Adult Personality & Behaviour
1999,NHS Lanarkshire,F10 - F19,1040,NA,166.47,NA,800,NA,128.05,NA,30,NA,4.8,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Lanarkshire,F30 - F39,970,NA,155.26,NA,780,NA,124.85,NA,120,NA,19.21,NA,Mood Disorders
1999,NHS Lanarkshire,F40 - F49,180,NA,28.81,NA,160,NA,25.61,NA,10,NA,1.6,NA,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Lanarkshire,F00 - F09 or Chapter G and second position F00,790,NA,126.45,NA,560,NA,89.64,NA,250,NA,40.02,NA,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Lanarkshire,"F50 - F59, F70 - F99",40,NA,6.4,NA,40,NA,6.4,NA,10,NA,1.6,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Lanarkshire,F20 - F29,600,NA,96.04,NA,420,NA,67.23,NA,190,NA,30.41,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Lothian,F60 - F69,120,NA,15.55,NA,90,NA,11.66,NA,10,NA,1.3,NA,Disorders of Adult Personality & Behaviour
1999,NHS Lothian,F10 - F19,1380,NA,178.83,NA,1040,NA,134.77,NA,60,NA,7.78,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Lothian,F30 - F39,1510,NA,195.67,NA,1090,NA,141.25,NA,180,NA,23.33,NA,Mood Disorders
1999,NHS Lothian,F40 - F49,520,NA,67.38,NA,440,NA,57.02,NA,10,NA,1.3,NA,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Lothian,F00 - F09 or Chapter G and second position F00,1500,NA,194.38,NA,970,NA,125.7,NA,370,NA,47.95,NA,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Lothian,"F50 - F59, F70 - F99",130,NA,16.85,NA,100,NA,12.96,NA,20,NA,2.59,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Lothian,F20 - F29,1200,NA,155.5,NA,770,NA,99.78,NA,310,NA,40.17,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Orkney,F60 - F69,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Disorders of Adult Personality & Behaviour
1999,NHS Orkney,F10 - F19,40,NA,205.97,NA,30,NA,154.48,NA,NA,:,NA,:,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Orkney,F30 - F39,10,NA,51.49,NA,10,NA,51.49,NA,NA,:,NA,:,Mood Disorders
1999,NHS Orkney,F40 - F49,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Orkney,F00 - F09 or Chapter G and second position F00,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Orkney,"F50 - F59, F70 - F99",0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Orkney,F20 - F29,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Shetland,F60 - F69,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Disorders of Adult Personality & Behaviour
1999,NHS Shetland,F10 - F19,40,NA,177.7,NA,40,NA,177.7,NA,NA,:,NA,:,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Shetland,F30 - F39,20,NA,88.85,NA,20,NA,88.85,NA,NA,:,NA,:,Mood Disorders
1999,NHS Shetland,F40 - F49,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Shetland,F00 - F09 or Chapter G and second position F00,10,NA,44.42,NA,10,NA,44.42,NA,NA,:,NA,:,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Shetland,"F50 - F59, F70 - F99",0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Shetland,F20 - F29,10,NA,44.42,NA,10,NA,44.42,NA,NA,:,NA,:,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Tayside,F60 - F69,100,NA,25.46,NA,60,NA,15.28,NA,10,NA,2.55,NA,Disorders of Adult Personality & Behaviour
1999,NHS Tayside,F10 - F19,850,NA,216.43,NA,680,NA,173.15,NA,20,NA,5.09,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Tayside,F30 - F39,830,NA,211.34,NA,620,NA,157.87,NA,100,NA,25.46,NA,Mood Disorders
1999,NHS Tayside,F40 - F49,260,NA,66.2,NA,220,NA,56.02,NA,10,NA,2.55,NA,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Tayside,F00 - F09 or Chapter G and second position F00,650,NA,165.51,NA,510,NA,129.86,NA,260,NA,66.2,NA,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Tayside,"F50 - F59, F70 - F99",70,NA,17.82,NA,60,NA,15.28,NA,10,NA,2.55,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Tayside,F20 - F29,580,NA,147.68,NA,390,NA,99.3,NA,200,NA,50.93,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,NHS Western Isles,F60 - F69,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,Disorders of Adult Personality & Behaviour
1999,NHS Western Isles,F10 - F19,140,NA,514.52,NA,100,NA,367.51,NA,0,NA,0,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,NHS Western Isles,F30 - F39,70,NA,257.26,NA,50,NA,183.76,NA,0,NA,0,NA,Mood Disorders
1999,NHS Western Isles,F40 - F49,20,NA,73.5,NA,20,NA,73.5,NA,0,NA,0,NA,"Neurotic, Stress-related & Somatoform Disorders"
1999,NHS Western Isles,F00 - F09 or Chapter G and second position F00,40,NA,147,NA,30,NA,110.25,NA,10,NA,36.75,NA,"Organic, Including Symptomatic Mental Disorders"
1999,NHS Western Isles,"F50 - F59, F70 - F99",0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
1999,NHS Western Isles,F20 - F29,10,NA,36.75,NA,10,NA,36.75,NA,0,NA,0,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
1999,State Hospitals Board for Scotland,F60 - F69,10,NA,NA,:,10,NA,NA,:,10,NA,NA,:,Disorders of Adult Personality & Behaviour
1999,State Hospitals Board for Scotland,F10 - F19,0,NA,NA,:,0,NA,NA,:,10,NA,NA,:,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
1999,State Hospitals Board for Scotland,F30 - F39,10,NA,NA,:,10,NA,NA,:,10,NA,NA,:,Mood Disorders
1999,State Hospitals Board for Scotland,F40 - F49,0,NA,NA,:,0,NA,NA,:,0,NA,NA,:,"Neurotic, Stress-related & Somatoform Disorders"
1999,State Hospitals Board for Scotland,F00 - F09 or Chapter G and second position F00,0,NA,NA,:,0,NA,NA,:,0,NA,NA,:,"Organic, Including Symptomatic Mental Disorders"
1999,State Hospitals Board for Scotland,"F50 - F59, F70 - F99",10,NA,NA,:,10,NA,NA,:,30,NA,NA,:,Other Selected Diagnoses Principally Affecting Children & Young People
1999,State Hospitals Board for Scotland,F20 - F29,50,NA,NA,:,50,NA,NA,:,180,NA,NA,:,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Ayrshire and Arran,F60 - F69,80,NA,21.69,NA,50,NA,13.56,NA,10,NA,2.71,NA,Disorders of Adult Personality & Behaviour
2000,NHS Ayrshire and Arran,F10 - F19,1020,NA,276.6,NA,770,NA,208.8,NA,40,NA,10.85,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Ayrshire and Arran,F30 - F39,530,NA,143.72,NA,410,NA,111.18,NA,60,NA,16.27,NA,Mood Disorders
2000,NHS Ayrshire and Arran,F40 - F49,260,NA,70.5,NA,220,NA,59.66,NA,10,NA,2.71,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Ayrshire and Arran,F00 - F09 or Chapter G and second position F00,640,NA,173.55,NA,440,NA,119.32,NA,170,NA,46.1,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Ayrshire and Arran,"F50 - F59, F70 - F99",40,NA,10.85,NA,30,NA,8.14,NA,20,NA,5.42,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Ayrshire and Arran,F20 - F29,380,NA,103.05,NA,300,NA,81.35,NA,110,NA,29.83,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Borders,F60 - F69,10,NA,9.41,NA,10,NA,9.41,NA,0,NA,0,NA,Disorders of Adult Personality & Behaviour
2000,NHS Borders,F10 - F19,180,NA,169.41,NA,140,NA,131.76,NA,0,NA,0,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Borders,F30 - F39,180,NA,169.41,NA,130,NA,122.35,NA,10,NA,9.41,NA,Mood Disorders
2000,NHS Borders,F40 - F49,60,NA,56.47,NA,60,NA,56.47,NA,0,NA,0,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Borders,F00 - F09 or Chapter G and second position F00,230,NA,216.47,NA,170,NA,160,NA,70,NA,65.88,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Borders,"F50 - F59, F70 - F99",10,NA,9.41,NA,10,NA,9.41,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Borders,F20 - F29,140,NA,131.76,NA,80,NA,75.29,NA,40,NA,37.65,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Dumfries and Galloway,F60 - F69,80,NA,54.22,NA,40,NA,27.11,NA,10,NA,6.78,NA,Disorders of Adult Personality & Behaviour
2000,NHS Dumfries and Galloway,F10 - F19,230,NA,155.89,NA,180,NA,122,NA,10,NA,6.78,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Dumfries and Galloway,F30 - F39,220,NA,149.11,NA,180,NA,122,NA,30,NA,20.33,NA,Mood Disorders
2000,NHS Dumfries and Galloway,F40 - F49,120,NA,81.33,NA,100,NA,67.78,NA,10,NA,6.78,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Dumfries and Galloway,F00 - F09 or Chapter G and second position F00,200,NA,135.56,NA,160,NA,108.45,NA,60,NA,40.67,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Dumfries and Galloway,"F50 - F59, F70 - F99",30,NA,20.33,NA,20,NA,13.56,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Dumfries and Galloway,F20 - F29,220,NA,149.11,NA,160,NA,108.45,NA,50,NA,33.89,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Fife,F60 - F69,100,NA,28.71,NA,70,NA,20.1,NA,10,NA,2.87,NA,Disorders of Adult Personality & Behaviour
2000,NHS Fife,F10 - F19,440,NA,126.31,NA,310,NA,88.99,NA,20,NA,5.74,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Fife,F30 - F39,450,NA,129.18,NA,340,NA,97.61,NA,60,NA,17.22,NA,Mood Disorders
2000,NHS Fife,F40 - F49,170,NA,48.8,NA,150,NA,43.06,NA,10,NA,2.87,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Fife,F00 - F09 or Chapter G and second position F00,410,NA,117.7,NA,290,NA,83.25,NA,180,NA,51.67,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Fife,"F50 - F59, F70 - F99",50,NA,14.35,NA,40,NA,11.48,NA,10,NA,2.87,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Fife,F20 - F29,410,NA,117.7,NA,270,NA,77.51,NA,130,NA,37.32,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Forth Valley,F60 - F69,90,NA,32.26,NA,60,NA,21.51,NA,0,NA,0,NA,Disorders of Adult Personality & Behaviour
2000,NHS Forth Valley,F10 - F19,310,NA,111.12,NA,270,NA,96.78,NA,10,NA,3.58,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Forth Valley,F30 - F39,370,NA,132.63,NA,280,NA,100.37,NA,50,NA,17.92,NA,Mood Disorders
2000,NHS Forth Valley,F40 - F49,130,NA,46.6,NA,110,NA,39.43,NA,0,NA,0,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Forth Valley,F00 - F09 or Chapter G and second position F00,300,NA,107.53,NA,200,NA,71.69,NA,120,NA,43.01,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Forth Valley,"F50 - F59, F70 - F99",20,NA,7.17,NA,20,NA,7.17,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Forth Valley,F20 - F29,330,NA,118.29,NA,210,NA,75.27,NA,130,NA,46.6,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Grampian,F60 - F69,140,NA,26.56,NA,80,NA,15.18,NA,0,NA,0,NA,Disorders of Adult Personality & Behaviour
2000,NHS Grampian,F10 - F19,770,NA,146.09,NA,600,NA,113.83,NA,30,NA,5.69,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Grampian,F30 - F39,830,NA,157.47,NA,630,NA,119.53,NA,80,NA,15.18,NA,Mood Disorders
2000,NHS Grampian,F40 - F49,310,NA,58.81,NA,270,NA,51.23,NA,10,NA,1.9,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Grampian,F00 - F09 or Chapter G and second position F00,640,NA,121.42,NA,510,NA,96.76,NA,280,NA,53.12,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Grampian,"F50 - F59, F70 - F99",40,NA,7.59,NA,40,NA,7.59,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Grampian,F20 - F29,790,NA,149.88,NA,410,NA,77.79,NA,140,NA,26.56,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Greater Glasgow and Clyde,F60 - F69,280,NA,24.85,NA,220,NA,19.52,NA,30,NA,2.66,NA,Disorders of Adult Personality & Behaviour
2000,NHS Greater Glasgow and Clyde,F10 - F19,3100,NA,275.08,NA,2360,NA,209.41,NA,150,NA,13.31,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Greater Glasgow and Clyde,F30 - F39,2600,NA,230.71,NA,1970,NA,174.81,NA,310,NA,27.51,NA,Mood Disorders
2000,NHS Greater Glasgow and Clyde,F40 - F49,560,NA,49.69,NA,510,NA,45.25,NA,30,NA,2.66,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Greater Glasgow and Clyde,F00 - F09 or Chapter G and second position F00,1840,NA,163.27,NA,1410,NA,125.12,NA,630,NA,55.9,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Greater Glasgow and Clyde,"F50 - F59, F70 - F99",120,NA,10.65,NA,110,NA,9.76,NA,30,NA,2.66,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Greater Glasgow and Clyde,F20 - F29,1870,NA,165.93,NA,1280,NA,113.58,NA,560,NA,49.69,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Highland,F60 - F69,90,NA,29.98,NA,70,NA,23.32,NA,0,NA,0,NA,Disorders of Adult Personality & Behaviour
2000,NHS Highland,F10 - F19,1430,NA,476.38,NA,990,NA,329.8,NA,40,NA,13.33,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Highland,F30 - F39,610,NA,203.21,NA,440,NA,146.58,NA,80,NA,26.65,NA,Mood Disorders
2000,NHS Highland,F40 - F49,250,NA,83.28,NA,210,NA,69.96,NA,10,NA,3.33,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Highland,F00 - F09 or Chapter G and second position F00,560,NA,186.55,NA,330,NA,109.93,NA,130,NA,43.31,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Highland,"F50 - F59, F70 - F99",50,NA,16.66,NA,40,NA,13.33,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Highland,F20 - F29,380,NA,126.59,NA,250,NA,83.28,NA,80,NA,26.65,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Lanarkshire,F60 - F69,140,NA,22.45,NA,100,NA,16.03,NA,20,NA,3.21,NA,Disorders of Adult Personality & Behaviour
2000,NHS Lanarkshire,F10 - F19,1030,NA,165.15,NA,780,NA,125.07,NA,40,NA,6.41,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Lanarkshire,F30 - F39,980,NA,157.14,NA,740,NA,118.65,NA,100,NA,16.03,NA,Mood Disorders
2000,NHS Lanarkshire,F40 - F49,220,NA,35.28,NA,190,NA,30.47,NA,10,NA,1.6,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Lanarkshire,F00 - F09 or Chapter G and second position F00,680,NA,109.03,NA,460,NA,73.76,NA,250,NA,40.09,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Lanarkshire,"F50 - F59, F70 - F99",50,NA,8.02,NA,40,NA,6.41,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Lanarkshire,F20 - F29,670,NA,107.43,NA,450,NA,72.15,NA,190,NA,30.47,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Lothian,F60 - F69,140,NA,18.03,NA,110,NA,14.17,NA,20,NA,2.58,NA,Disorders of Adult Personality & Behaviour
2000,NHS Lothian,F10 - F19,1260,NA,162.27,NA,920,NA,118.48,NA,50,NA,6.44,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Lothian,F30 - F39,1440,NA,185.45,NA,1060,NA,136.51,NA,170,NA,21.89,NA,Mood Disorders
2000,NHS Lothian,F40 - F49,420,NA,54.09,NA,360,NA,46.36,NA,10,NA,1.29,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Lothian,F00 - F09 or Chapter G and second position F00,1400,NA,180.3,NA,870,NA,112.04,NA,370,NA,47.65,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Lothian,"F50 - F59, F70 - F99",170,NA,21.89,NA,140,NA,18.03,NA,20,NA,2.58,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Lothian,F20 - F29,1170,NA,150.68,NA,750,NA,96.59,NA,280,NA,36.06,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Orkney,F60 - F69,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Disorders of Adult Personality & Behaviour
2000,NHS Orkney,F10 - F19,40,NA,207.36,NA,40,NA,207.36,NA,NA,:,NA,:,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Orkney,F30 - F39,10,NA,51.84,NA,10,NA,51.84,NA,NA,:,NA,:,Mood Disorders
2000,NHS Orkney,F40 - F49,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Orkney,F00 - F09 or Chapter G and second position F00,10,NA,51.84,NA,0,NA,0,NA,NA,:,NA,:,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Orkney,"F50 - F59, F70 - F99",0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Orkney,F20 - F29,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Shetland,F60 - F69,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Disorders of Adult Personality & Behaviour
2000,NHS Shetland,F10 - F19,40,NA,180.34,NA,40,NA,180.34,NA,NA,:,NA,:,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Shetland,F30 - F39,30,NA,135.26,NA,20,NA,90.17,NA,NA,:,NA,:,Mood Disorders
2000,NHS Shetland,F40 - F49,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Shetland,F00 - F09 or Chapter G and second position F00,0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Shetland,"F50 - F59, F70 - F99",0,NA,0,NA,0,NA,0,NA,NA,:,NA,:,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Shetland,F20 - F29,10,NA,45.09,NA,10,NA,45.09,NA,NA,:,NA,:,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Tayside,F60 - F69,90,NA,23.05,NA,60,NA,15.37,NA,0,NA,0,NA,Disorders of Adult Personality & Behaviour
2000,NHS Tayside,F10 - F19,810,NA,207.46,NA,640,NA,163.92,NA,30,NA,7.68,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Tayside,F30 - F39,810,NA,207.46,NA,550,NA,140.87,NA,100,NA,25.61,NA,Mood Disorders
2000,NHS Tayside,F40 - F49,210,NA,53.79,NA,200,NA,51.23,NA,10,NA,2.56,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Tayside,F00 - F09 or Chapter G and second position F00,620,NA,158.8,NA,500,NA,128.06,NA,240,NA,61.47,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Tayside,"F50 - F59, F70 - F99",40,NA,10.25,NA,30,NA,7.68,NA,10,NA,2.56,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Tayside,F20 - F29,610,NA,156.24,NA,430,NA,110.13,NA,190,NA,48.66,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,NHS Western Isles,F60 - F69,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,Disorders of Adult Personality & Behaviour
2000,NHS Western Isles,F10 - F19,120,NA,447.93,NA,90,NA,335.95,NA,0,NA,0,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,NHS Western Isles,F30 - F39,80,NA,298.62,NA,50,NA,186.64,NA,10,NA,37.33,NA,Mood Disorders
2000,NHS Western Isles,F40 - F49,10,NA,37.33,NA,10,NA,37.33,NA,0,NA,0,NA,"Neurotic, Stress-related & Somatoform Disorders"
2000,NHS Western Isles,F00 - F09 or Chapter G and second position F00,30,NA,111.98,NA,20,NA,74.65,NA,10,NA,37.33,NA,"Organic, Including Symptomatic Mental Disorders"
2000,NHS Western Isles,"F50 - F59, F70 - F99",10,NA,37.33,NA,0,NA,0,NA,0,NA,0,NA,Other Selected Diagnoses Principally Affecting Children & Young People
2000,NHS Western Isles,F20 - F29,20,NA,74.65,NA,20,NA,74.65,NA,0,NA,0,NA,"Schizophrenia, Schizotypal & Delusional Disorders"
2000,State Hospitals Board for Scotland,F60 - F69,10,NA,NA,:,10,NA,NA,:,10,NA,NA,:,Disorders of Adult Personality & Behaviour
2000,State Hospitals Board for Scotland,F10 - F19,0,NA,NA,:,0,NA,NA,:,0,NA,NA,:,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2000,State Hospitals Board for Scotland,F30 - F39,10,NA,NA,:,10,NA,NA,:,10,NA,NA,:,Mood Disorders
2000,State Hospitals Board for Scotland,F40 - F49,0,NA,NA,:,0,NA,NA,:,0,NA,NA,:,"Neurotic, Stress-related & Somatoform Disorders"
2000,State Hospitals Board for Scotland,F00 - F09 or Chapter G and second position F00,0,NA,NA,:,0,NA,NA,:,0,NA,NA,:,"Organic, Including Symptomatic Mental Disorders"
2000,State Hospitals Board for Scotland,"F50 - F59, F70 - F99",10,NA,NA,:,10,NA,NA,:,40,NA,NA,:,Other Selected Diagnoses Principally Affecting Children & Young People
2000,State Hospitals Board for Scotland,F20 - F29,80,NA,NA,:,70,NA,NA,:,160,NA,NA,:,"Schizophrenia, Schizotypal & Delusional Disorders"
2001,NHS Ayrshire and Arran,F60 - F69,90,NA,24.44,NA,60,NA,16.29,NA,10,NA,2.72,NA,Disorders of Adult Personality & Behaviour
2001,NHS Ayrshire and Arran,F10 - F19,1120,NA,304.11,NA,830,NA,225.37,NA,40,NA,10.86,NA,Mental & Behavioural Disorders Due to Psychoactive Ssubstance Use
2001,NHS Ayrshire and Arran,F30 - F39,490,NA,133.05,NA,390,NA,105.89,NA,60,NA,16.29,NA,Mood Disorders
